"","id","training_condition"
"179","id0098","control"
"180","id0099","training_receiver_others"
"181","id0099","training_receiver_others"
"182","id0100","control"
"183","id0101","training_receiver_self"
"184","id0102","training_receiver_others"
"185","id0103","training_receiver_others"
"186","id0104","training_receiver_self"
"187","id0105","training_receiver_others"
"188","id0106","training_receiver_self"
"189","id0107","control"
"190","id0108","training_receiver_self"
"191","id0108","training_receiver_self"
"192","id0108","training_receiver_self"
"193","id0109","training_receiver_others"
"194","id0110","training_receiver_others"
"195","id0111","training_receiver_self"
"196","id0112","training_receiver_others"
"197","id0112","training_receiver_others"
"198","id0113","training_receiver_self"
"199","id0114","training_receiver_others"
"200","id0114","training_receiver_others"
"201","id0115","training_receiver_self"
"202","id0116","training_receiver_others"
"203","id0117","control"
"204","id0118","training_receiver_self"
"205","id0118","training_receiver_self"
"206","id0119","training_receiver_self"
"207","id0120","control"
"208","id0121","control"
"209","id0121","control"
"210","id0122","control"
"211","id0123","training_receiver_self"
"212","id0124","control"
"213","id0125","training_receiver_others"
"214","id0126","training_receiver_self"
"215","id0127","control"
"216","id0128","control"
"217","id0129","training_receiver_self"
"218","id0130","control"
"219","id0131","training_receiver_self"
"220","id0132","training_receiver_self"
"221","id0132","training_receiver_self"
"222","id0132","training_receiver_self"
"223","id0132","training_receiver_self"
"224","id0133","control"
"225","id0134","training_receiver_others"
"226","id0134","training_receiver_others"
"227","id0134","training_receiver_others"
"228","id0134","training_receiver_others"
"229","id0135","training_receiver_others"
"230","id0136","training_receiver_others"
"231","id0136","training_receiver_others"
"232","id0137","training_receiver_self"
"233","id0137","training_receiver_self"
"234","id0138","control"
"235","id0139","control"
"236","id0140","training_receiver_self"
"237","id0140","training_receiver_self"
"238","id0141","training_receiver_self"
"239","id0142","control"
"240","id0143","control"
"241","id0144","training_receiver_others"
"242","id0145","training_receiver_self"
"243","id0145","training_receiver_self"
"244","id0146","control"
"245","id0147","training_receiver_self"
"246","id0148","training_receiver_self"
"247","id0148","training_receiver_self"
"248","id0149","training_receiver_others"
"249","id0150","training_receiver_self"
"250","id0151","training_receiver_others"
"251","id0151","training_receiver_others"
"252","id0152","control"
"253","id0153","control"
"254","id0154","training_receiver_others"
"255","id0155","training_receiver_others"
"256","id0155","training_receiver_others"
"257","id0156","control"
"258","id0156","control"
"259","id0156","control"
"260","id0157","training_receiver_self"
"261","id0158","training_receiver_others"
"262","id0159","training_receiver_self"
"263","id0160","training_receiver_others"
"264","id0161","control"
"265","id0162","control"
"266","id0163","training_receiver_self"
"267","id0164","training_receiver_others"
"268","id0165","control"
"269","id0166","control"
"270","id0166","control"
"271","id0167","training_receiver_self"
"272","id0168","training_receiver_self"
"273","id0169","training_receiver_others"
"274","id0170","training_receiver_self"
"275","id0171","control"
"276","id0172","training_receiver_self"
"277","id0173","control"
"278","id0173","control"
"279","id0174","control"
"280","id0175","training_receiver_others"
"281","id0176","control"
